Income_Level,Control_Method
Low,Fixed
Low,Adaptive
Low,Occupancy
Low,Fixed
Low,Adaptive
Low,Occupancy
Low,Fixed
Low,Adaptive
Low,Occupancy
Low,Fixed
Low,Adaptive
Low,Occupancy
Low,Fixed
Low,Adaptive
Low,Occupancy
Low,Fixed
Low,Adaptive
Low,Occupancy
Low,Fixed
Low,Adaptive
Low,Occupancy
Low,Fixed
Low,Adaptive
Low,Occupancy
Low,Fixed
Low,Adaptive
Low,Occupancy
Low,Fixed
Low,Adaptive
Low,Occupancy
Low-Mid,Fixed
Low-Mid,Adaptive
Low-Mid,Occupancy
Low-Mid,Fixed
Low-Mid,Adaptive
Low-Mid,Occupancy
Low-Mid,Fixed
Low-Mid,Adaptive
Low-Mid,Occupancy
Low-Mid,Fixed
Low-Mid,Adaptive
Low-Mid,Occupancy
Low-Mid,Fixed
Low-Mid,Adaptive
Low-Mid,Occupancy
Low-Mid,Fixed
Low-Mid,Adaptive
Low-Mid,Occupancy
Low-Mid,Fixed
Low-Mid,Adaptive
Low-Mid,Occupancy
Low-Mid,Fixed
Low-Mid,Adaptive
Low-Mid,Occupancy
Low-Mid,Fixed
Low-Mid,Adaptive
Low-Mid,Occupancy
Low-Mid,Fixed
Low-Mid,Adaptive
Low-Mid,Occupancy
Mid,Fixed
Mid,Adaptive
Mid,Occupancy
Mid,Fixed
Mid,Adaptive
Mid,Occupancy
Mid,Fixed
Mid,Adaptive
Mid,Occupancy
Mid,Fixed
Mid,Adaptive
Mid,Occupancy
Mid,Fixed
Mid,Adaptive
Mid,Occupancy
Mid,Fixed
Mid,Adaptive
Mid,Occupancy
Mid,Fixed
Mid,Adaptive
Mid,Occupancy
Mid,Fixed
Mid,Adaptive
Mid,Occupancy
Mid,Fixed
Mid,Adaptive
Mid,Occupancy
Mid,Fixed
Mid,Adaptive
Mid,Occupancy
Mid-High,Fixed
Mid-High,Adaptive
Mid-High,Occupancy
Mid-High,Fixed
Mid-High,Adaptive
Mid-High,Occupancy
Mid-High,Fixed
Mid-High,Adaptive
Mid-High,Occupancy
Mid-High,Fixed
Mid-High,Adaptive
Mid-High,Occupancy
Mid-High,Fixed
Mid-High,Adaptive
Mid-High,Occupancy
Mid-High,Fixed
Mid-High,Adaptive
Mid-High,Occupancy
Mid-High,Fixed
Mid-High,Adaptive
Mid-High,Occupancy
Mid-High,Fixed
Mid-High,Adaptive
Mid-High,Occupancy
Mid-High,Fixed
Mid-High,Adaptive
Mid-High,Occupancy
Mid-High,Fixed
Mid-High,Adaptive
Mid-High,Occupancy
High,Fixed
High,Adaptive
High,Occupancy
High,Fixed
High,Adaptive
High,Occupancy
High,Fixed
High,Adaptive
High,Occupancy
High,Fixed
High,Adaptive
High,Occupancy
High,Fixed
High,Adaptive
High,Occupancy
High,Fixed
High,Adaptive
High,Occupancy
High,Fixed
High,Adaptive
High,Occupancy
High,Fixed
High,Adaptive
High,Occupancy
High,Fixed
High,Adaptive
High,Occupancy
High,Fixed
High,Adaptive
High,Occupancy
